sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,17,2,60,9.672117980164543,1.0,56.090492661493876,3448.423769514817,62955.16
2:CWM,3000,17,2,64,9.822296880058149,1.0,109.52902519167579,6733.805962486309,62955.16
4:CWM,2400,20,2,92,11.680223663371732,1.0,183.5704451583295,11265.992125951316,62844.40791666666
8:CWM,4800,38,2,207,26.61855545293624,1.0,197.62845849802372,12123.571061648241,62817.55604166666
16:CWM,4800,89,2,768,78.76357822728046,1.0,170.71522566418892,10527.684541380659,63148.14
32:CWM,9600,165,2,2076,166.3905574295767,1.0,183.39159837239959,11305.674267090282,63127.26729166666
64:CWM,9600,347,3,3847,316.9076938015455,1.0,174.8283586166706,10691.782942653794,62623.6259375
TOTAL,37200,153,2,3847,223.67560926295238,1.0,146.674972991302,9011.63264976397,62914.01760752688
