sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,77,32,502,41.32724393853957,0.0,12.847415528242902,1000.4982179229477,79744.457
2:CWM,3000,75,31,499,41.01346422687176,0.0,26.20522182720277,2040.7433448972974,79744.457
4:CWM,2400,78,32,520,43.20517530849169,0.0,48.41833440929632,3778.6445790063653,79914.60458333333
8:CWM,4800,146,31,12115,358.77580677988243,0.0,49.482495567193105,3847.389820506757,79618.603125
16:CWM,4800,271,33,22165,1136.4421360458946,0.0,47.90036723614881,3732.1700745262356,79785.23708333333
32:CWM,9600,569,33,58144,2154.86446807167,0.0,48.916948193894555,3812.3139987582863,79804.84635416667
64:CWM,9600,1129,35,64098,3496.045274594394,1.0416666666666667E-4,48.464043213771866,3770.242498682699,79661.70510416667
TOTAL,37200,510,31,64098,2168.5772048073313,2.6881720430107527E-5,37.60934005718237,2928.632185835635,79738.68602150537
