sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,17,2,64,9.580388092347826,1.0,57.60700501180944,3541.7515207349215,62956.815
2:CWM,3000,17,2,62,9.726177592227868,1.0,112.00716845878136,6886.342366536459,62956.815
4:CWM,2400,21,2,77,11.90980215311694,1.0,174.55814968361335,10713.389595947887,62847.31458333333
8:CWM,4800,42,2,248,31.176404889460827,1.0,178.3922399375627,10943.780167567918,62819.049166666664
16:CWM,4800,93,2,1054,104.92716686932047,1.0,162.57408975444537,10025.82520771592,63149.331041666665
32:CWM,9600,193,3,2701,235.68058967004947,1.0,157.34609584999674,9700.293717834196,63128.994166666664
64:CWM,9600,354,3,5662,387.12655238427845,1.0,167.36985250531748,10232.352971822806,62603.44552083333
TOTAL,37200,163,2,5662,267.4222844147015,1.0,139.10286133090028,8545.867993412012,62910.05620967742
