sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,15,1,67,9.48143083435547,1.0,61.89012439915005,4211.050300392744,69673.725
2:CWM,3000,15,1,64,9.563742636762147,1.0,120.01440172820739,8165.8695527838345,69673.725
4:CWM,2400,19,2,95,11.78044035679482,1.0,185.2280620514008,12581.283057058925,69553.35875
8:CWM,4800,39,2,337,30.01578871564468,1.0,192.36934915036872,13061.272017273164,69526.37
16:CWM,4800,93,3,1028,100.50040298405075,1.0,161.86140617096612,11045.976088296662,69881.263125
32:CWM,9600,182,2,2843,217.01913777874228,1.0,166.00380425384748,11326.05089810652,69865.1225
64:CWM,9600,364,2,4721,408.4209642151302,1.0,166.10146030867188,11245.04944857235,69324.6803125
TOTAL,37200,162,1,4721,273.0602379451002,1.0,144.93657076956643,9855.834276068372,69633.04185483871
