sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,214,157,3756,134.78499406709437,0.0,4.661924970979517,351.7341398762997,77259.021
2:CWM,3000,204,156,3687,82.28633871764835,0.0,9.687325426323046,730.8918735802014,77259.021
4:CWM,2400,220,161,3687,137.0593359922588,0.0,17.647058823529413,1336.2733010684742,77539.48541666666
8:CWM,4800,342,166,3957,155.76162760012136,0.0,22.83637263251043,1720.692736383218,77157.14708333333
16:CWM,4800,676,185,5083,269.45692274763184,0.0,23.166805828382234,1747.0274403349172,77220.66270833333
32:CWM,9600,1355,168,10956,1032.04544603711,0.0,23.111256626430613,1746.7854984237401,77395.54708333334
64:CWM,9600,2638,176,37980,3204.712287027062,0.0010416666666666667,22.83990416756876,1718.6846266292762,77055.18572916667
TOTAL,37200,1210,156,37980,1957.4382122561321,2.6881720430107527E-4,15.88194760494253,1197.9959495196617,77241.65088709678
