sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
1:CWM,3000,16,1,59,9.454868087686657,1.0,59.90893841361132,4076.053636753385,69670.387
2:CWM,3000,16,2,62,9.481727684809817,1.0,118.18933932159318,8041.3056736423005,69670.387
4:CWM,2400,19,1,78,11.319037521656453,1.0,192.30769230769232,13061.280627128404,69548.70708333333
8:CWM,4800,36,2,198,25.301429635956616,1.0,201.78241129981504,13699.769965095322,69523.22729166667
16:CWM,4800,83,2,781,67.77442709724203,1.0,181.81129502670353,12406.914037347071,69878.38666666667
32:CWM,9600,169,2,2789,162.789394932819,1.0,181.48820326678765,12378.858322817416,69844.48958333333
64:CWM,9600,328,2,3268,287.50132810011786,1.0,184.89984591679507,12521.743374723132,69347.084375
TOTAL,37200,147,1,3268,208.21762852518032,1.0,153.1179254990739,10412.001553174521,69631.88376344086
